ID,status,date,complaint_ID,updatedby_ID
CS088,Closed,2026-04-04T16:30:00Z,C088,E015
CS089,Open,2026-04-05T09:30:00Z,C089,E016
CS090,In Progress,2026-04-06T10:30:00Z,C090,E017
CS091,Resolved,2026-04-07T11:30:00Z,C091,E018
CS092,Closed,2026-04-08T12:30:00Z,C092,E019
CS093,Open,2026-04-09T13:30:00Z,C093,E020
CS094,In Progress,2026-04-10T14:30:00Z,C094,E021
CS095,Resolved,2026-04-11T15:30:00Z,C095,E022
CS096,Closed,2026-04-12T16:30:00Z,C096,E023
CS097,Open,2026-04-13T09:30:00Z,C097,E024
CS098,In Progress,2026-04-14T10:30:00Z,C098,E025
CS099,Resolved,2026-04-15T11:30:00Z,C099,E026
CS100,Closed,2026-04-16T12:30:00Z,C100,E027
